MAC	MANUFACTURER	MODEL	TYPE 	OWNER	DESCRIPTION	SOURCE
0050F2102F0D	Microsoft	Xbox	Console	MVG	Xbox Debug Kit	https://youtu.be/jR46e-HU06c?t=293
00098C006963	O2	Surf@Home II	WWAN Router	Raimond Spekking	Wikimedia Commons	https://en.wikipedia.org/wiki/MAC_address#/media/File:UMTS_Router_Surf@home_II,_o2-0017.jpg
0014A541616B	O2	Surf@Home II	WWAN Router	Raimond Spekking	Wikimedia Commons	https://en.wikipedia.org/wiki/MAC_address#/media/File:UMTS_Router_Surf@home_II,_o2-0017.jpg
C05B12278609	MUAMA	Ryoko	WWAN Router	Krazy Ken	Review Device	https://youtu.be/mYly1irRrBE?t=725
00224334173E	Atheros	AR9280	WIFI Module	Amazon	Product Image	https://www.amazon.de/dp/B08N17FWR8
C446196EE3B7	Broadcom	BCM94312HMG2L	WIFI Module	Amazon	Product Image	https://www.amazon.de/dp/B08FBD2LW6
142D27010307	Broadcom	BCM943228HMB	WIFI Module	Amazon	Product Image	https://www.amazon.de/dp/B07D6G79QR
001BEB572ECD	ICOM	SOM304RD52VINE1	SOM	Rasteri	weePC	https://youtu.be/aJEp4ZUG7BI?t=533
000D050ABD80	Cybernet	ZPC-H6	PC	VWestlife1	Keyboard-AiO PC	https://youtu.be/Q4bHqTxT68E?t=401
000502DF1DA9	Apple	Mac Pro G3	PC	ThisDoesNotCompute	Vintage Mac	https://youtu.be/Z3nsjMQZ7FI?t=359
0009BF0145A3	Nintendo	Gamecube	Console	MVG	Broadband Adaptor	https://youtu.be/Uxjl_kD3imQ?t=153
4C8B58E8A561	Lenovo	IdeaPad 100-151by	WIFI Module	eBay	WiFi Module	https://www.ebay.de/itm/274465309594
00063900FE2B	Newtec	NTC/2218.TUS	SAT-Modem	eBay	Bidirectional Satellite Internet Modem	https://www.ebay.de/itm/133835717954
E263DA2C2636	Samsung		Smartphone	Ubiquiti	Sample Output	https://youtu.be/JhI3Lx9t-vY?t=38
4401BB641283	Android		Smartphone	Ubiquiti	Sample Output	https://youtu.be/JhI3Lx9t-vY?t=38
CCFD17B47F7D	Apple		Smartphone	Ubiquiti	Sample Output	https://youtu.be/JhI3Lx9t-vY?t=38
7683C22ACDD6	Ubiquiti	UDM	WWAN Router	Ubiquiti	Sample Output	https://youtu.be/JhI3Lx9t-vY?t=38
003EE1C96E9C	Apple	iPhone X	Smartphone	Ubiquiti	Sample Output	https://youtu.be/JhI3Lx9t-vY?t=42
0026B6F6BD40	Atheros	AR9280	WIFI Module	eBay	Product Image	https://www.ebay.es/itm/264428470186
20689D9CDEB5	Android	AR9280	WIFI Module	eBay	Product Image	https://www.ebay.es/itm/264859111386
0024D71FDE44	Intel	Ultimate-N 6300	WIFI Module	flickr	Photo	https://www.flickr.com/photos/seandreilinger/5199737867/
0C84DC6BA79B	Atheros	AR9462	WIFI Module	Amazon	Product Image	https://www.amazon.de/dp/B07L4S6MQ4
0C84DC6BA79C	Atheros	AR9462	Bluetooth module	Amazon	Product Image	https://www.amazon.de/dp/B07L4S6MQ4
0C84DCAA8EBD	Ralink	RT3290	WIFI Module	Amazon	Product Image	https://www.amazon.de/dp/B07K2ZL4DZ
00063985911E	Newtec	NTC/2299.AA	SAT-Modem	eBay	Product Image	https://www.ebay.de/itm/354108334711
00C0CA711ECA	Alfa Networks	AWPCIE-1900U	WIFI Module	Amazon	Product Image	https://www.amazon.de/dp/B08DV3M3PN
5C3E1BE567B5	Apple	iPhone 14 Pro	Smartphone	Hugh Jeffreys	Bought for Repairability Testing	https://youtu.be/K2WhU77ihw8?t=79
5C3E1BEEEFC8	Apple	iPhone 14 Pro	Smartphone	Hugh Jeffreys	Bought for Repairability Testing	https://youtu.be/K2WhU77ihw8?t=79
002248F0CC27	Microsoft	Xbox 360 Wireless Adapter (1398)	WIFI Module	eBay	Product Image	https://www.ebay.com/itm/255671077094
001DD8535431	Microsoft	Xbox 360 Wireless Adapter	WIFI Module	eBay	Product Image	https://www.ebay.com/itm/304637519941
40F02F2BE159	Atheros	AR5B22	WIFI Module	Amazon	Product Image	https://www.amazon.de/dp/B08HGV6MLL
000CE3712143	Option	GTM671W	WIFI Module	Newegg	Product Image	https://www.newegg.com/p/2S7-07JP-26601
C445EC126E6E	Realtek	RTL8188ETV/5	WIFI Module	Pollin	Product Image	https://www.pollin.de/p/daycom-wlan-modul-m-rtl8188etv-5-150-mbps-712223
28F07648AEDB	Ubiquiti	Unifi Access Hub	Swutch	YouTube	Product Video	https://youtu.be/wh_nPEOtLzc?t=208
00053504BC75	Chip PC	Jack PC EFI7900	Thin Client	YouTube	Product Image	https://youtu.be/Tl7K14vdGJg?t=61
64CFD9AD7F21	Iridium	9810 Certus	Satellite Modem	Iridium	Product Image	https://www.iridium.com/products/?fwp_product_type=developer-products
7Cß3ßA3F4873	HP	T620	Thin Client	eBay	Product Image	https://www.ebay.de/itm/124975399881
4C526208A35F	Fujitsu	Futro S920	Thin Client	eBay	Product Image	https://www.ebay.de/itm/295878489828
901B0EFA3C73	Fujitsu	Futro S920	Thin Client	eBay	Product Image	https://www.ebay.de/itm/185745064394
901B0E481C7E	Fujitsu	Futro S920	Thin Client	eBay	Product Image	https://www.ebay.de/itm/126042139193
4C5262BA1CB9	Fujitsu	Futro S740	Thin Client	eBay	Product Image	https://www.ebay.de/itm/285427377686
0096DC86F475	Fujitsu	Futro S300	Thin Client	eBay	Product Image	https://www.ebay.de/itm/195628725248
